population,calibration,comparison,difference,relative_reduction,block_days,low95,high95,family4_low,family4_high,primary
outer,calibrated,F_minus_A_G_all_time,-0.00016794908245159284,0.009068339191182424,3,-0.0006271131183367617,0.0005701614969394735,,,False
outer,calibrated,F_minus_A_G_all_time,-0.00016794908245159284,0.009068339191182424,1,-0.0010691871242680595,0.0007361021500424439,,,False
outer,calibrated,E_internal_minus_A_G_all_time,0.0005009201146719686,-0.02704696829076559,3,4.971999260154305e-05,0.0010448170958318008,,,False
outer,calibrated,E_internal_minus_A_G_all_time,0.0005009201146719686,-0.02704696829076559,1,-0.00011654154205894282,0.0011582194040369376,,,False
outer,calibrated,D_rewire_20261004_minus_A_G_all_time,0.0006267504965641326,-0.03384112618015476,3,0.00013607013137642617,0.0012142696360061208,,,False
outer,calibrated,D_rewire_20261004_minus_A_G_all_time,0.0006267504965641326,-0.03384112618015476,1,-5.2564929053411785e-05,0.0013483662897691734,,,False
outer,calibrated,D_rewire_20261005_minus_A_G_all_time,0.0005354789957641545,-0.02891296035953447,3,0.00010166988385347155,0.0010285942075680073,,,False
outer,calibrated,D_rewire_20261005_minus_A_G_all_time,0.0005354789957641545,-0.02891296035953447,1,-4.061814591175498e-05,0.0011428122889968646,,,False
outer,calibrated,E_self_minus_A_G_all_time,0.0009182889212694938,-0.049582619279726854,3,0.00044607453976614234,0.0014268819644397998,,,False
outer,calibrated,E_self_minus_A_G_all_time,0.0009182889212694938,-0.049582619279726854,1,0.00038629403709681273,0.0014647785832694457,,,False
outer,calibrated,E_rewire_20261004_minus_A_G_all_time,0.0003929390648480588,-0.021216577485829717,3,-9.630551786129048e-05,0.0010653976412732889,,,False
outer,calibrated,E_rewire_20261004_minus_A_G_all_time,0.0003929390648480588,-0.021216577485829717,1,-0.0004527367305964538,0.001281831951034898,,,False
outer,calibrated,E_rewire_20261005_minus_A_G_all_time,0.0006993216833973646,-0.03775957651107634,3,0.00021316952465667816,0.0012759870698687483,,,False
outer,calibrated,E_rewire_20261005_minus_A_G_all_time,0.0006993216833973646,-0.03775957651107634,1,7.587178570013032e-05,0.0013618618831316579,,,False
rolling1,raw,C_minus_B_onset,-0.0016390677292137175,0.10820074844600981,3,-0.0019429041810783143,-0.0010012417539454182,-0.0019429041810783143,-0.0010012417539454182,True
rolling1,raw,C_minus_B_onset,-0.0016390677292137175,0.10820074844600981,1,-0.0025829630841256966,-0.0007263185027788447,-0.0026739769501349653,-0.0006823600417434142,True
rolling1,raw,D_minus_C_onset,0.00014931339808811823,-0.011052614962735675,3,6.6206857656596e-05,0.00023102352499164772,6.6206857656596e-05,0.00023102352499164772,True
rolling1,raw,D_minus_C_onset,0.00014931339808811823,-0.011052614962735675,1,2.565396746174054e-05,0.0003382148457713608,2.4935449030455414e-05,0.0003421046778408418,True
rolling1,raw,E_minus_D_onset,0.0016578737296353637,-0.12137911165393621,3,0.001317635351401756,0.0017940344720180825,0.001317635351401756,0.0017940344720180825,True
rolling1,raw,E_minus_D_onset,0.0016578737296353637,-0.12137911165393621,1,0.0011214037150587605,0.0021353298296410816,0.0011027925791469318,0.002140656118911906,True
rolling1,raw,E_minus_B_onset,0.00016811939850976422,-0.011098165391722871,3,8.215381593141939e-05,0.0003826004551129372,8.215381593141939e-05,0.0003826004551129372,True
rolling1,raw,E_minus_B_onset,0.00016811939850976422,-0.011098165391722871,1,-0.00013299422718262253,0.00046389822916912543,-0.00019121615338222112,0.0005058704512997374,True
rolling1,raw,R_union_minus_A_G_onset,-0.0007165954673623411,0.04808961302372005,3,-0.0009208739509778425,0.0008602724424943246,,,False
rolling1,raw,R_union_minus_A_G_onset,-0.0007165954673623411,0.04808961302372005,1,-0.005165846753503886,0.0029692815804962316,,,False
rolling1,raw,A_mono_minus_A_G_onset,0.00040194669921718565,-0.026974021050767072,3,-6.391885743643917e-05,0.0009802363360016837,,,False
rolling1,raw,A_mono_minus_A_G_onset,0.00040194669921718565,-0.026974021050767072,1,-0.0007871851124109513,0.0014171154142993327,,,False
rolling1,raw,B_minus_A_G_onset,0.00024714296259933433,-0.016585381814769616,3,-0.0012790611240762542,0.001906621162682318,,,False
rolling1,raw,B_minus_A_G_onset,0.00024714296259933433,-0.016585381814769616,1,-0.0018625412960551861,0.0032482439409619885,,,False
rolling1,raw,K_minus_A_G_onset,-0.0006421332811050333,0.043092570919623874,3,-0.001838595830742992,0.001160268413173413,,,False
rolling1,raw,K_minus_A_G_onset,-0.0006421332811050333,0.043092570919623874,1,-0.0031605106806987734,0.0023672987381954513,,,False
rolling1,raw,C_minus_A_G_onset,-0.0013919247666143834,0.09340991735686112,3,-0.0022803028780216707,-3.628301839599633e-05,,,False
rolling1,raw,C_minus_A_G_onset,-0.0013919247666143834,0.09340991735686112,1,-0.0032533200873368986,0.0008600315183244327,,,False
rolling1,raw,D_minus_A_G_onset,-0.0012426113685262653,0.0833897262443718,3,-0.0022140960203650747,0.00019474050659565138,,,False
rolling1,raw,D_minus_A_G_onset,-0.0012426113685262653,0.0833897262443718,1,-0.0031655582099338435,0.0011746705456264304,,,False
rolling1,raw,M_minus_A_G_onset,0.0002654051705182462,-0.017810930331022122,3,-0.0005829020471605582,0.0015433980801789014,,,False
rolling1,raw,M_minus_A_G_onset,0.0002654051705182462,-0.017810930331022122,1,-0.001519924977957731,0.0023991983328121302,,,False
rolling1,raw,S_minus_A_G_onset,-0.0012823414042163847,0.08605594746509625,3,-0.0016165115587386952,-0.00012354704632867343,,,False
rolling1,raw,S_minus_A_G_onset,-0.0012823414042163847,0.08605594746509625,1,-0.003050626014958084,0.00021696694043375417,,,False
rolling1,raw,E_minus_A_G_onset,0.00041526236110909885,-0.027867614516957694,3,-0.0008964606689633187,0.001988774978613734,,,False
