split,origin,model,step,mae_raw
inner_diagnosis,20896,original,6,4.619471745760122
inner_diagnosis,20896,location_repair,3,2.6040082809479848
inner_diagnosis,20896,location_repair,6,4.594684785242252
inner_diagnosis,20956,original,3,2.682327419497105
inner_diagnosis,20956,original,6,2.7806527204058242
inner_diagnosis,20956,location_repair,3,2.5337409358800573
inner_diagnosis,20956,location_repair,6,2.6027540968334772
inner_diagnosis,21028,original,3,0.9769604218868475
inner_diagnosis,21028,original,6,1.0209767331078434
inner_diagnosis,21028,location_repair,3,0.965473690620309
inner_diagnosis,21028,location_repair,6,0.9931899975456107
inner_diagnosis,21088,original,3,2.9417961042210536
inner_diagnosis,21088,original,6,4.031252745650572
inner_diagnosis,21088,location_repair,3,2.9531057092769397
inner_diagnosis,21088,location_repair,6,4.124417823177487
inner_diagnosis,21148,original,3,1.262448096449992
inner_diagnosis,21148,original,6,1.7513547036564943
inner_diagnosis,21148,location_repair,3,1.222962667759632
inner_diagnosis,21148,location_repair,6,1.6782147075621154
inner_diagnosis,21208,original,3,3.08389311291944
inner_diagnosis,21208,original,6,4.473294968453648
inner_diagnosis,21208,location_repair,3,2.859188177710336
inner_diagnosis,21208,location_repair,6,4.208873183401984
inner_diagnosis,21268,original,3,1.558004513323777
inner_diagnosis,21268,original,6,1.7661152298035967
inner_diagnosis,21268,location_repair,3,1.5553680530021567
inner_diagnosis,21268,location_repair,6,1.7490375923022121
inner_diagnosis,21328,original,3,1.0566930619346733
inner_diagnosis,21328,original,6,1.1530440854247666
inner_diagnosis,21328,location_repair,3,1.0523828833508777
inner_diagnosis,21328,location_repair,6,1.1139960519287118
inner_diagnosis,21388,original,3,4.664429482648249
inner_diagnosis,21388,original,6,6.7389074177547865
inner_diagnosis,21388,location_repair,3,4.225470345825599
inner_diagnosis,21388,location_repair,6,6.16923917147551
inner_diagnosis,21448,original,3,1.3380628415461437
inner_diagnosis,21448,original,6,1.984206739019059
inner_diagnosis,21448,location_repair,3,1.3111309749287685
inner_diagnosis,21448,location_repair,6,1.9002261577464363
inner_diagnosis,21508,original,3,5.003614454149636
inner_diagnosis,21508,original,6,5.953995558814323
inner_diagnosis,21508,location_repair,3,4.499135356232249
inner_diagnosis,21508,location_repair,6,5.275337511161964
inner_diagnosis,21568,original,3,1.113779065382933
inner_diagnosis,21568,original,6,1.2191414937039655
inner_diagnosis,21568,location_repair,3,1.1076169986587001
inner_diagnosis,21568,location_repair,6,1.2087949971518657
inner_diagnosis,21628,original,3,1.3083036863360202
inner_diagnosis,21628,original,6,1.4936826811178268
inner_diagnosis,21628,location_repair,3,1.291383346423977
inner_diagnosis,21628,location_repair,6,1.4466105258535358
inner_diagnosis,21688,original,3,3.6800740532345992
inner_diagnosis,21688,original,6,4.8191561874002025
inner_diagnosis,21688,location_repair,3,3.5888443752348422
inner_diagnosis,21688,location_repair,6,4.705625092512243
inner_diagnosis,21748,original,3,1.6562128328170849
inner_diagnosis,21748,original,6,2.223364686132312
