origin,repeat,model,N,total_seconds,preparation_seconds,probability,mc_lower,mc_upper
32058,2,location_repair,256,0.027549353006179444,0.018905807002738584,0.0,0.0,0.014306362729039375
32708,2,original,256,0.020576290000462905,0.012066709001373965,0.0,0.0,0.014306362729039375
32708,2,location_repair,256,0.022030410000297707,0.013325143001566175,0.0,0.0,0.014306362729039375
33439,2,original,256,0.020597298003849573,0.012050399003783241,0.0,0.0,0.014306362729039375
33439,2,location_repair,256,0.02044841700262623,0.0138441140006762,0.0,0.0,0.014306362729039375
34089,2,original,256,0.019640992002678104,0.011465273004432674,0.00390625,9.889279722355371e-05,0.021570890352533498
34089,2,location_repair,256,0.021977857999445405,0.014523735997499898,0.00390625,9.889279722355371e-05,0.021570890352533498
34819,2,original,256,0.018057371999020688,0.011494165999465622,0.0,0.0,0.014306362729039375
34819,2,location_repair,256,0.02326212600019062,0.014822908000496682,0.0,0.0,0.014306362729039375
35469,2,original,256,0.019684072998643387,0.012411796997184865,0.0,0.0,0.014306362729039375
35469,2,location_repair,256,0.0207460700039519,0.014395693004189525,0.0,0.0,0.014306362729039375
36200,2,original,256,0.017963104997761548,0.010869817997445352,0.0,0.0,0.014306362729039375
36200,2,location_repair,256,0.026887407002504915,0.01783123800123576,0.0,0.0,0.014306362729039375
36850,2,original,256,0.024483912995492574,0.014563819000613876,0.0,0.0,0.014306362729039375
36850,2,location_repair,256,0.03205842600436881,0.01929126900358824,0.0,0.0,0.014306362729039375
37581,2,original,256,0.02978538900060812,0.019263219001004472,0.0,0.0,0.014306362729039375
37581,2,location_repair,256,0.023502287003793754,0.014914753002813086,0.0,0.0,0.014306362729039375
38230,2,original,256,0.021155276001081802,0.011635759998171125,0.0,0.0,0.014306362729039375
38230,2,location_repair,256,0.020916763998684473,0.0144614239980001,0.0,0.0,0.014306362729039375
38961,2,original,256,0.02075878500181716,0.011024990999430884,0.66796875,0.6066303247832971,0.725364391784965
